1.213741464004999955e+02,1.271987181699999914e+00,1.398982895169999985e+01,6.777370522350000215e+01,7.788175848900000631e+01
6.414780216000000035e-01,1.167719499999999959e-02,0.000000000000000000e+00,8.495260395999999492e-01,7.127533569999999763e-02
8.434924100799999991e+00,7.881453099999999670e-03,9.785869497000000417e-01,7.093307771500000136e+00,1.062371621319999981e+01
3.771738069800000037e+00,1.600755000000000092e-04,3.137479070000000203e-02,1.832703971900000006e+00,9.990309623999999999e-01
1.790194653499999955e+00,1.951751899999999923e-03,6.731552499999999759e-03,1.019690795899999891e+00,4.645966188999999802e-01
1.446171106800000050e+00,3.210982700000000051e-03,4.796653199999999749e-03,7.881178634000000072e-01,3.729893354000000105e-01
1.100310477300000089e+00,5.681261699999999755e-03,2.525005199999999939e-03,6.363407683999999787e-01,2.717931398999999804e-01
9.802362624999999552e-01,6.635952900000000390e-03,2.513023599999999851e-03,5.375121855000000171e-01,2.513023585999999976e-01
7.017224534999999541e-01,8.793024700000000651e-03,9.770027000000000572e-04,4.065894635000000257e-01,1.702329588000000005e-01
5.054864783000000417e-01,1.260215599999999977e-02,3.500598999999999855e-04,3.220939924999999815e-01,1.308446070000000017e-01
4.349711863999999872e-01,1.397513329999999949e-02,3.484105000000000145e-04,2.666889020000000055e-01,1.128850106000000020e-01
4.167438386000000272e-01,1.390944210000000063e-02,3.467728000000000217e-04,2.344184092000000108e-01,1.082316423000000000e-01
3.758646291000000139e-01,1.533984809999999928e-02,1.533984999999999917e-04,2.273748990999999997e-01,9.587405089999999352e-02
3.591433951999999930e-01,1.526807929999999917e-02,1.526808000000000104e-04,2.034089863999999914e-01,8.076813950000000242e-02
3.146120198999999840e-01,1.838814370000000156e-02,3.799199999999999810e-05,1.915178351000000057e-01,6.701794510000000371e-02
2.862225750999999874e-01,2.000419369999999891e-02,3.781511098620659694e-05,1.748570731999999905e-01,5.751678379999999868e-02
2.592979821999999990e-01,2.743913909999999914e-02,0.000000000000000000e+00,1.590265603999999888e-01,4.610829269999999758e-02
2.279592977999999881e-01,2.731464960000000095e-02,0.000000000000000000e+00,1.348871584999999929e-01,4.331376530000000113e-02
