Sn Oxide,,SnSiO2 0.13%,,SnSiO2 0.5%,,SnSiO2 2%,,SnSiO2 6%,
wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity
208.6500093668,0.0276829192,208.6500093668,0.1585058982,208.6500093668,0.0012711545,208.6500093668,0.0114403901,208.6500093668,0.0028600975
209.1200093903,0.0170132319,209.1200093903,0.2030339409,209.1200093903,0.0028472557,209.1200093903,0.0068896559,209.1200093903,0.0008787826
209.5900094116,0.0078736119,209.5900094116,0.258814371,209.5900094116,0.0068587908,209.5900094116,0.0028345003,209.5900094116,0.0003149445
210.0600094322,0.0028218303,210.0600094322,0.3553764343,210.0600094322,0.0139349646,210.0600094322,0.0008709353,210.0600094322,3.48374114549038E-05
210.5200094538,0.0008671333,210.5200094538,0.4994688057,210.5200094538,0.0291703657,210.5200094538,0.0001387413,210.5200094538,0
210.9900094721,0.000034531,210.9900094721,0.706123932,210.9900094721,0.0498627296,210.9900094721,0,210.9900094721,0.000034531
211.4600094939,0,211.4600094939,0.9133796961,211.4600094939,0.0792060981,211.4600094939,0,211.4600094939,0.0003093988
211.9300095154,0,211.9300095154,1.1713621341,211.9300095154,0.1315621926,211.9300095154,0.0001369013,211.9300095154,0.0016770415
212.4000095378,0.0003066663,212.4000095378,1.4883879578,212.4000095378,0.2073064338,212.4000095378,0.0012266653,212.4000095378,0.0057585121
212.8700095584,0.0012212545,212.8700095584,1.9054623496,212.8700095584,0.2871305049,212.8700095584,0.004885018,212.8700095584,0.0135694946
213.3400095804,0.0040867059,213.3400095804,2.3361434969,213.3400095804,0.4086705939,213.3400095804,0.012192569,213.3400095804,0.0264791525
213.800009598,0.0108958774,213.800009598,2.8282200335,213.800009598,0.5338979935,213.800009598,0.0245157242,213.800009598,0.046038445
214.2700096221,0.0209261762,214.2700096221,3.3858218313,214.2700096221,0.7136997959,214.2700096221,0.0458366964,214.2700096221,0.0803899986
214.7400096419,0.040835962,214.7400096419,3.9218857935,214.7400096419,0.9185924651,214.7400096419,0.0768049441,214.7400096419,0.1240413181
215.2100096642,0.064255907,215.2100096642,4.6673486161,215.2100096642,1.1359289343,215.2100096642,0.1155345105,215.2100096642,0.1673109644
